timestamp,est_pos_x,est_pos_y,est_pos_z,est_vel_x,est_vel_y,est_vel_z,est_q_w,est_q_x,est_q_y,est_q_z,true_pos_x,true_pos_y,true_pos_z,true_vel_x,true_vel_y,true_vel_z,true_q_w,true_q_x,true_q_y,true_q_z,pos_error,vel_error,att_error
0.09,4.31866e+06,606948,4.64542e+06,9.33924,-0.0631214,0.265232,0.999987,-0.000412838,0.000845106,0.00499547,4.31866e+06,606951,4.64542e+06,2.15304,34.8648,7.1597,1,0,0,0,3.29082,36.3199,0.0101665
0.19,4.31866e+06,606948,4.64542e+06,8.68846,-0.125324,0.540083,0.999948,-0.000393167,0.0018323,0.010005,4.31866e+06,606954,4.64542e+06,2.3334,34.8889,6.98809,1,0,0,0,6.90004,36.1657,0.0203584
0.29,4.31866e+06,606947,4.64542e+06,7.93237,-0.202695,0.698839,0.999883,-0.000368589,0.00281572,0.0150359,4.31866e+06,606958,4.64542e+06,2.51318,34.9121,6.81575,1,0,0,0,10.5501,36.0532,0.0306046
0.39,4.31866e+06,606947,4.64542e+06,7.40637,-0.248053,1.10361,0.999793,-0.000338523,0.00381939,0.0199919,4.31866e+06,606961,4.64542e+06,2.6924,34.9344,6.64269,1,0,0,0,14.1065,35.9264,0.0407153
0.49,4.31866e+06,606948,4.64542e+06,7.14808,-0.255488,1.79406,0.99968,-0.000302942,0.00480632,0.0248419,4.31866e+06,606965,4.64542e+06,2.87104,34.9557,6.46892,1,0,0,0,17.6282,35.7767,0.0506141
0.59,4.31866e+06,606947,4.64542e+06,6.57521,-0.307573,2.14322,0.999539,-0.000269821,0.00579939,0.0297984,4.31866e+06,606968,4.64543e+06,3.04911,34.9761,6.29444,1,0,0,0,21.1812,35.7016,0.0607267
0.69,4.31866e+06,606947,4.64542e+06,6.13422,-0.341511,2.6318,0.999375,-0.000200882,0.00679808,0.0347016,4.31866e+06,606972,4.64543e+06,3.22659,34.9955,6.11925,1,0,0,0,24.7136,35.6275,0.0707383
0.79,4.31866e+06,606947,4.64542e+06,5.55411,-0.395314,2.96846,0.999183,-0.000145859,0.00780942,0.0396495,4.31866e+06,606975,4.64543e+06,3.40349,35.014,5.94336,1,0,0,0,28.2487,35.5991,0.080845
0.89,4.31866e+06,606947,4.64542e+06,5.16061,-0.423014,3.50323,0.998974,-2.85593e-05,0.00879693,0.0444326,4.31866e+06,606979,4.64543e+06,3.5798,35.0315,5.76678,1,0,0,0,31.761,35.5619,0.0906212
0.99,4.31866e+06,606947,4.64542e+06,4.53835,-0.482908,3.79043,0.99873,4.91083e-05,0.00978292,0.0494302,4.31866e+06,606982,4.64543e+06,3.75551,35.0481,5.58951,1,0,0,0,35.2848,35.5852,0.100821
1.09,4.31866e+06,606947,4.64543e+06,4.2928,-0.479939,4.46576,0.998385,-0.00042772,0.0114322,0.0556473,4.31866e+06,606986,4.64543e+06,3.93063,35.0638,5.41155,1,0,0,0,38.7713,35.5581,0.113683
1.19,4.31867e+06,606947,4.64543e+06,3.80492,-0.520738,4.89102,0.998095,-0.000317929,0.0124119,0.0604404,4.31866e+06,606989,4.64543e+06,4.10514,35.0785,5.23291,1,0,0,0,42.2739,35.6021,0.123484
