t,agl
0.0,999.516854905321
0.01,999.5496763585211
0.02,1000.256339929513
0.03,1000.3659415801089
0.04,1000.8677189412441
0.05,999.5294567328923
0.06,1000.8795950647082
0.07,999.869857197811
0.08,1000.0395111940762
0.09,999.9415551407363
0.1,1000.12671666897
0.11,1000.3486156046122
0.12,1000.5187766346048
0.13,999.877803758426
0.14,1000.0443714551875
0.15,999.5444511584152
0.16,1000.3389119145501
0.17,1000.1330194242624
0.18,999.6114065489361
0.19,999.3782990399507
0.2,1000.0803976447661
0.21,1000.6532612910024
0.22,1000.7930801459554
0.23,999.3532184484151
0.24,1000.4672396644011
0.25,1000.398748752132
0.26,1000.6924283783875
0.27,1000.2377734936906
0.28,999.8328138059055
0.29,1000.3929581008157
0.3,998.7115806478059
0.31,999.5042227498923
0.32,999.5652424074659
0.33,999.6636562430152
0.34,999.2399597292724
0.35000000000000003,999.7178216097009
0.36,999.7231828498195
0.37,999.8682424642044
0.38,1000.1419157642405
0.39,999.3743807892495
0.4,999.7736109743721
0.41000000000000003,999.9542465043879
0.42,999.07304233008
0.43,999.9631651850088
0.44,1000.1193627415055
0.45,1000.3790231528213
0.46,999.3400574399521
0.47000000000000003,999.9242049533848
0.48,1000.6198862576603
0.49,999.1320481927482
0.5,999.9966181996608
0.51,999.2387431032746
0.52,999.7852353557729
0.53,999.5975009427259
0.54,1000.1871360055495
0.55,999.8523803474397
0.56,999.3616938715088
0.5700000000000001,1000.7616114502754
0.58,1000.0890244117774
0.59,1000.4934215416861
0.6,999.4523838052635
0.61,999.803419558283
0.62,1000.4995530187513
0.63,999.625014633544
0.64,999.9974626735532
0.65,999.9672695077477
0.66,998.8185250142785
0.67,999.9656199185677
0.68,999.7905693002954
0.6900000000000001,999.9170557567853
0.7000000000000001,999.6402593774134
0.71,999.3555469396264
0.72,999.5932325254396
0.73,999.736609536191
0.74,1000.3034662145334
0.75,999.7200877109289
0.76,1000.0549614286696
0.77,1000.1005649882566
0.78,999.7295517594943
0.79,1000.485703098854
0.8,999.8124733083832
0.81,999.7194554144006
0.8200000000000001,1000.5524347958121
0.8300000000000001,1000.06848990527
0.84,998.8041228772145
0.85,998.6706018477089
0.86,1000.7967197759592
0.87,1000.0414504099051
0.88,999.9130619954918
0.89,998.890733588922
0.9,999.9268690995901
0.91,999.472660739494
0.92,999.842206559946
0.93,999.635807973119
0.9400000000000001,999.8552163799997
0.9500000000000001,1000.0967821024954
0.96,1000.1863919458068
0.97,999.9673376621986
0.98,1000.0533028662826
0.99,999.1077816900035
1.0,999.9580387473761
1.01,1000.1034598532858
1.02,999.9603523992251
1.03,1000.7429309684453
1.04,999.867873623631
1.05,999.337831016743
1.06,999.9997617009866
1.07,999.7128672708286
1.08,999.1375548291538
1.09,999.8477174438465
1.1,1000.7379142415059
1.11,999.8155459257597
1.12,1000.5416397629432
1.1300000000000001,1000.3587819756378
1.1400000000000001,1001.1834407509101
1.1500000000000001,1000.2269497850846
1.16,1000.0382210011978
