t,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,lat_true,lon_true,alt_true,temperature,gradient_xx,gradient_yy,gradient_zz,gradient_xy,gradient_xz,gradient_yz,anomaly_mgal
0.0,-0.0044274142470141645,0.003660989527968201,-9.809794301961013,0.00035058216871821404,-9.49482101198643e-05,-0.0007186453211330819,47.45,8.55,432.0,24.0557340663343,1.828940825314938,-0.3909284008487568,-4.464980054561515,-0.7757445441433418,0.1039936709862604,1.080303359615719,-12.168796425642597
0.01,572.6936935964325,0.009745607889745628,-9.81622737000291,-0.00012089788183050446,-0.001424766110145416,0.0014007603478239262,47.450000515039044,8.5500000000133,432.0,25.041653541629913,2.9391585886800775,-1.0296352691230628,-4.624921674274033,-0.5697294744333496,-0.397330585911929,0.10648531335624453,-11.631982611855602
0.02,-71.77683048468842,0.004199476998487585,-9.801098445699012,-0.0016252387937522362,8.311819389222344e-05,-0.0001933158455761668,47.450000965522406,8.550000000039898,432.0,24.660699115138115,3.768746700484028,-1.5202174210068888,-2.655165605360176,0.4346735792061027,-0.11299195828286479,-0.07420838576540822,-12.554902987858986
0.03,20.95174733010188,-0.002187180286572544,-9.815729958306463,-0.0015043725710665408,0.0011338309580134287,-0.0005238114954675782,47.45000143484465,8.550000000079795,432.0,24.285618727923033,2.3418557632582413,-1.5798060603595683,-4.699275261449915,0.2179629027545459,0.9711032372477877,0.6000879891761242,-12.28577191734432
0.04,-89.71871837007811,-0.0001981690462368301,-9.791546469047814,-0.00042614858266762086,-7.042613425154259e-05,0.0015551274114951172,47.450001823484925,8.550000000132991,432.0,25.473052183807408,3.675907355977276,-1.345369485098595,-4.536578225383518,-0.044064919930922736,0.2049430372251942,-0.2415592753745014,-12.067459087178152
0.05,124.22249953330521,0.018041882193707677,-9.806327315633823,0.0004253900375935439,-0.001045217618349449,0.00010379949527708032,47.450002323842554,8.550000000199486,432.0,25.605530709715296,3.0783283252586577,-1.2510624038206581,-1.9303604441164746,0.9388399981504548,-0.1405810414638342,-0.38160577271945795,-12.594611415524785
0.06,-24.61626070010691,0.018027238363019126,-9.814760698158574,-0.0001642221034900201,3.4611995631762805e-06,-0.0001945920105291536,47.45000280206818,8.55000000027928,432.0,24.35457484686672,2.4369890966345995,-1.6498920755468407,-3.537854615662933,-0.1266403203246487,0.33398506315519405,0.2648527023834287,-12.601464718645857
0.07,-1.2332864128842604,0.016379421105442847,-9.814150039788064,0.0002970465507570861,-7.135515135139518e-06,0.0003428856254797783,47.45000327917456,8.550000000372371,432.0,25.8935052936965,2.9274335169296517,-0.542255257023701,-4.775772897286176,0.07433946150802648,-0.07687609004293477,0.3598045918424336,-12.763317391982959
0.08,-72.1719335446014,0.003503839491373074,-9.792217137055001,0.0010976359378994127,-0.0009909309429218935,-9.952944022661966e-05,47.45000369138019,8.550000000478763,432.0,25.68357389007509,6.213473571625158,-0.8460310352357577,-2.075752707266586,0.8466375766815664,-0.12466825127417477,-0.2660546522004967,-12.55285233928708
0.09,32.13062563798185,0.02491188840550006,-9.809252006725877,0.001612088679463867,0.0007516558319373759,0.0007760180761583901,47.45000413248536,8.55000000059845,432.0,25.298744030410305,1.1444633954265657,-2.3800332693349877,-4.072924447332645,-0.20581430010502208,0.22005636716936738,-0.32503737997801935,-11.651389497058759
0.1,111.04414316481947,0.007557522131379651,-9.812655332229959,-0.0004522003968413895,-0.001391508066226905,-0.0004629077571445503,47.45000467345705,8.550000000731439,432.0,24.81031272373057,3.74016207917576,-0.6629472405013631,-3.227185829514175,0.3190967548585805,1.017160117630319,0.0019547001158964628,-12.220738783007382
